prn,epoch,x_km,y_km,z_km,vx,vy,vz
R01,2020-01-02 00:15,-19189.7388,-12992.7920,10667.5493,-1.088299,-0.982284,-3.151231
R01,2020-01-02 00:45,-20726.3862,-14131.2290,4656.3511,-0.580468,-0.298556,-3.484518
R01,2020-01-02 01:15,-21160.6367,-14153.4062,-1714.7056,0.124156,0.243095,-3.548491
R01,2020-01-02 01:45,-20214.8218,-13385.8804,-7953.2876,0.935753,0.569764,-3.338293
R01,2020-01-02 02:15,-17793.8687,-12252.2231,-13577.4438,1.744020,0.648003,-2.870235
R01,2020-01-02 02:45,-14006.4741,-11196.3296,-18152.7881,2.435944,0.488910,-2.180509
R01,2020-01-02 03:15,-9153.3921,-10603.2622,-21325.9634,2.914064,0.145741,-1.322367
R01,2020-01-02 03:45,-3684.6772,-10730.8667,-22851.8213,3.112221,-0.295496,-0.362012
R01,2020-01-02 04:15,1867.1660,-11663.5601,-22612.2808,3.006207,-0.730921,0.626478
R01,2020-01-02 04:45,6967.2446,-13295.9912,-20625.4634,2.617592,-1.056637,1.566816
R01,2020-01-02 05:15,11158.5225,-15349.3477,-17044.4175,2.010100,-1.186630,2.386338
R01,2020-01-02 05:45,14129.1812,-17417.6680,-12145.4863,1.279115,-1.067748,3.021603
R01,2020-01-02 06:15,15756.1113,-19036.5571,-6307.1396,0.536014,-0.689255,3.423324
R01,2020-01-02 06:45,16117.4409,-19762.9106,19.1846,-0.110087,-0.085329,3.560249
R01,2020-01-02 07:15,15472.1089,-19252.3540,6344.0142,-0.570178,0.669950,3.421659
R01,2020-01-02 07:45,14209.9692,-17321.3911,12177.8379,-0.789788,1.474335,3.018235
R01,2020-01-02 08:15,12780.8643,-13983.7642,17069.1553,-0.757591,2.213929,2.381248
R01,2020-01-02 08:45,11614.6172,-9454.8296,20639.5400,-0.506741,2.781711,1.560088
R01,2020-01-02 09:15,11045.4189,-4123.0918,22612.9634,-0.108733,3.094969,0.618390
R01,2020-01-02 09:45,11253.2856,1506.4697,22837.0942,0.339150,3.108778,-0.370938
R01,2020-01-02 10:15,12232.3672,6887.9912,21294.9697,0.730699,2.823255,-1.331372
R01,2020-01-02 10:45,13791.3740,11516.8564,18106.1899,0.969092,2.283460,-2.188683
R01,2020-01-02 11:15,15586.0166,15004.9268,13517.5854,0.983658,1.571950,-2.876647
R01,2020-01-02 11:45,17178.0532,17136.6187,7884.0815,0.742254,0.795235,-3.342157
R01,2020-01-02 12:15,18111.0835,17896.7158,1641.2354,0.257235,0.066357,-3.549314
R01,2020-01-02 12:45,17990.4536,17465.4868,-4728.4507,-0.416021,-0.513508,-3.482190
R01,2020-01-02 13:15,16553.9067,16182.0835,-10732.8237,-1.187767,-0.871400,-3.146055
R01,2020-01-02 13:45,13721.1646,14482.4409,-15908.0796,-1.948320,-0.974157,-2.566933
R01,2020-01-02 14:15,9614.0962,12822.1294,-19854.5264,-2.585849,-0.833328,-1.789565
R01,2020-01-02 14:45,4544.0391,11597.0542,-22267.3452,-3.004572,-0.502617,-0.873942
R01,2020-01-02 15:15,-1031.7637,11075.2173,-22960.0376,-3.140396,-0.068324,0.109307
R01,2020-01-02 15:45,-6577.5547,11350.8711,-21878.7896,-2.971392,0.365619,1.084327
R01,2020-01-02 16:15,-11559.3477,12328.6655,-19106.6987,-2.521439,0.695548,1.975829
R01,2020-01-02 16:45,-15525.0420,13740.4453,-14857.5195,-1.856399,0.835937,2.714867
R01,2020-01-02 17:15,-18171.3203,15191.9365,-9459.3447,-1.073449,0.734268,3.244172
R01,2020-01-02 17:45,-19386.3843,16231.6050,-3329.4033,-0.285279,0.380445,3.522629
R01,2020-01-02 18:15,-19261.5381,16430.2158,3058.1582,0.398240,-0.190905,3.528534
R01,2020-01-02 18:45,-18069.7544,15457.7646,9209.0312,0.887892,-0.905622,3.261343
R01,2020-01-02 19:15,-16214.8721,13144.8198,14647.1499,1.129446,-1.661895,2.741740
R01,2020-01-02 19:45,-14159.9927,9517.8896,18951.6885,1.112109,-2.346843,2.010014
R01,2020-01-02 20:15,-12347.1230,4802.7588,21789.7168,0.869667,-2.855011,1.122890
R01,2020-01-02 20:45,-11121.5469,-604.8882,22941.9507,0.474169,-3.105706,0.149088
