t,prn,x,y,z,vx,vy,vz,clock
0.0,1,-15408392.710371524,21469769.78783633,2155082.7947821436,-104.52499116182298,-392.5992757502911,3157.7035808559754,0.00028951775168492756
600.0,1,-15438498.4233378,21174166.27044391,4039087.5283169406,1.1019933249638143,-593.857680587179,3117.937899178784,0.000289512222401615
1200.0,1,-15410526.080154441,20756151.32482963,5892009.019304867,88.87630814676004,-800.1471207833363,3054.1822490984578,0.000289506693489784
1800.0,1,-15335455.747999836,20213544.46511287,7699589.734261959,157.96456144459944,-1008.6638191959667,2966.9310465499507,0.0002895011676021989
2400.0,1,-15224661.250138585,19545871.08020831,9447924.609757967,207.89028589147165,-1216.5348205581156,2856.8621850096047,0.00028949564736799923
3000.0,1,-15089693.568353212,18754389.26467663,11123569.672740793,238.54076410302036,-1420.8666211638242,2724.8315286043594,0.0002894901353721727
3600.0,1,-14942062.078925263,17842087.285691157,12713646.869874625,250.1674070448853,-1618.7941948649266,2571.8659394190504,0.0002894846341353935
4200.0,1,-14793017.501466103,16813651.719511934,14205944.241478322,243.37968889724903,-1807.5295465713532,2399.1549062146564,0.00028947914609439156
4800.0,1,-14653340.401448518,15675406.811117971,15589010.623479396,219.1327587602682,-1984.4089349137016,2208.040855306721,0.00028947367358301353
5400.0,1,-14533138.979003254,14435226.118869346,16852244.11646045,178.7089637157677,-2146.937932212799,2000.008236687672,0.0002894682188141294
6000.0,1,-14441659.700960752,13102417.992777674,17985973.62335137,123.69362687700084,-2292.833531744367,1776.671489445646,0.00028946278386253
6600.0,1,-14387114.094089665,11687586.891255537,18981532.825523466,55.94552607772641,-2420.062568510394,1539.7620000075474,0.0002894573706489519
7200.0,1,-14376524.720046975,10202472.958950331,19831326.03984617,-22.437388119518346,-2526.875789070896,1291.1141746251792,0.0002894519809253537
7800.0,1,-14415593.002792481,8659772.66020569,20528885.475551084,-109.15641404623523,-2611.836986943861,1032.6507537782106,0.0002894466162615579
8400.0,1,-14508591.184093345,7072943.582617324,21068919.48842573,-201.75396883248095,-2673.8467109383196,766.367500771751,0.00028944127803335863
9000.0,1,-14658280.249920936,5455996.787949353,21447351.509907294,-297.6581581478361,-2712.160152681396,494.31739977974786,0.00028943596741218193
9600.0,1,-14865855.208219355,3823280.2894035093,21661349.409128312,-394.2292542839205,-2726.3989245616876,218.5944999805955,0.00028943068535637227
10200.0,1,-15130918.615254069,2189257.372126298,21709345.12604557,-488.807262626456,-2716.5565483041505,-58.682457671555234,0.0002894254326041633
10800.0,1,-15451482.75226176,568283.5463228677,21591044.492734,-578.7597429533733,-2682.997585365119,-335.3864959941318,0.00028942020966837845
11400.0,1,-15824000.355174646,-1025614.0709881093,21307427.23713313,-661.5290531982675,-2626.4504512651292,-609.3988071677348,0.0002894150168328891
12000.0,1,-16243423.306409633,-2578951.207984456,20860737.23848532,-734.6781990352658,-2547.9940649006157,-878.6249800081647,0.00028940985415084784
12600.0,1,-16703288.21745661,-4078991.1079851883,20254463.175990976,-795.9345023218998,-2449.038588929722,-1141.0109254625395,0.00028940472144469575
13200.0,1,-17195827.37224623,-5513935.983807183,19493309.781498168,-843.230344303797,-2331.300616774869,-1394.5583826324862,0.00028939961830793293
13800.0,1,-17712103.071500994,-6873102.062153813,18583159.973085087,-874.7402945605628,-2196.773254038232,-1637.3398940940012,0.0002893945441086245
14400.0,1,-18242163.024358466,-8147075.315086549,17531028.208979435,-888.9140028028938,-2047.6916257681328,-1867.5131463184368,0.0002893894979946043
15000.0,1,-18775214.081702054,-9327845.314043969,16345005.460222393,-884.5043065167771,-1886.494414810581,-2083.334578470411,0.0002893844789003252
15600.0,1,-19299811.30129186,-10408915.021302845,15034196.255685715,-860.5900916720741,-1715.7820993916316,-2283.172170645316,0.0002893794855552935
16200.0,1,-19804059.082582753,-11385384.747688271,13608648.304358676,-816.5935347583322,-1538.272609264472,-2465.517330602373,0.0002893745164940144
16800.0,1,-20275820.912804566,-12254008.946732257,12079275.247113457,-752.2914507031767,-1356.755158586718,-2628.995806153162,0.0002893695700673665
17400.0,1,-20702934.128299445,-13013224.976988811,10457773.13330676,-667.8205711506804,-1174.043039739341,-2772.3775584983073,0.0002893646444553131
18000.0,1,-21073426.01815195,-13663153.43821583,8756531.256454488,-563.6766794953626,-992.926175333205,-2894.5855398987364,0.0002893597376808504
18600.0,1,-21375727.581727676,-14205570.165865649,6988538.017693311,-440.7076313554793,-816.1242256445182,-2994.7033270684915,0.000289354847625086
19200.0,1,-21598881.297793698,-14643850.44398953,5167282.515691086,-300.10039022906653,-646.241035841193,-3071.981569542658,0.0002893499720433333
19800.0,1,-21732739.36939259,-14982886.461546937,3306652.586964478,-143.3623063585394,-485.72118195586745,-3125.843219977949,0.0002893451085821035
20400.0,1,-21768149.073587164,-15228979.483708259,1420830.041100892,27.703039147605296,-336.8093371504051,-3155.8875208678523,0.0002893402547968695
21000.0,1,-21697122.065669093,-15389708.630860737,-475816.1489249166,211.02501452187857,-201.5131310854449,-3161.8927294921505,0.00028933540817047506
21600.0,1,-21512984.75964036,-15473778.546906583,-2368837.930357377,404.2996500485797,-81.57011599191242,-3143.8175700742986,0.00028933056613205586
22200.0,1,-21210507.22612899,-15490848.588854376,-4243816.751344341,605.0273181803134,21.580615689442766,-3101.801409099893,0.0002893257260763393
22800.0,1,-20786008.410053205,-15451346.476051945,-6086471.86090409,810.5537518844367,106.8216943861787,-3036.1631565717885,0.00028932088538318623
23400.0,1,-20237435.867318336,-15366269.59481565,-7882767.554294769,1018.113718080652,173.37523384877545,-2947.398902664458,0.0002893160414372367
24000.0,1,-19564418.64609192,-15246977.358591009,-9619018.598591516,1224.8766199565287,220.81479594446228,-2836.1783058174824,0.00028931119164752293
24600.0,1,-18768292.386789534,-15104978.171903893,-11281993.086608605,1427.993270382118,249.07136162360075,-2703.339754803785,0.00028930633346691
25200.0,1,-17852096.178527784,-14951714.635896679,-12859011.98512813,1624.6430590496536,258.4332079074586,-2549.8843337509716,0.0002893014644112286
25800.0,1,-16820541.18097179,-14798350.662783805,-14338044.665528389,1812.080728637085,249.53969044390135,-2376.968625512043,0.0002892965820779638
26400.0,1,-15679951.491634667,-14655564.135643862,-15707799.7311586,1987.6819803680614,223.36903107145838,-2185.8963951997252,0.00028929168416436666
