t,prn,x,y,z,vx,vy,vz,clock
431984.0,1,-17099106.257425793,20257904.762232147,533574.7037003719,-1665.2374570346915,-1490.387604792826,3172.4347118225937,0.0002910110649108881
432584.0,1,-18031149.86581321,19286933.070428602,2432643.0743470937,-1439.7272260205307,-1744.237134043,3153.3931682448388,0.00029100560720941876
433184.0,1,-18824464.847309425,18167571.9743292,4312990.998354214,-1203.1367098351311,-1984.674716995437,3110.088780330262,0.00029100014780144304
433784.0,1,-19472947.972427923,16908433.83893291,6160148.850736809,-957.2954229181904,-2209.8409018865073,3042.8563037335985,0.0002909946893297844
434384.0,1,-19971616.77420059,15519211.975295454,7959904.523673836,-704.1050019781437,-2417.995667184109,2952.217414207335,0.000290989234429952
434984.0,1,-20316648.270846277,14010604.6030845,9698414.53476176,-445.52402819957933,-2607.5322503018415,2838.8764897231895,0.00029098378570955674
435584.0,1,-20505408.392351605,12394230.831098247,11362312.111746509,-183.5523931825569,-2776.9898593443677,2703.7148840598315,0.0002909783457279579
436184.0,1,-20536472.0378735,10682539.023574816,12938811.844158096,79.78719475758544,-2925.067373590162,2547.784507055773,0.0002909727192178042
436784.0,1,-20409632.77924135,8888710.517473135,14415807.125728654,342.455081949827,-3050.6245840709935,2372.2962846385435,0.0002909672357069554
437384.0,1,-20125904.032254882,7026553.892679852,15781966.782546345,602.4263126602807,-3152.704417395021,2178.614674304847,0.00029096176811736204
437984.0,1,-19687509.60528116,5110398.338741094,17026820.777320534,857.6962843472427,-3230.531177318305,1968.243710565576,0.00029095631862371073
438584.0,1,-19097865.027663887,3154981.196982298,18140841.065015964,1106.2991536174159,-3283.5185675215707,1742.8155374833366,0.0002909508892599008
439184.0,1,-18361549.481120773,1175332.9620985445,19115514.39940553,1346.323246221109,-3311.273876496423,1504.077241641408,0.00029094548190339786
439784.0,1,-17484269.053669218,-813339.2173179826,19943406.929455906,1575.9265214178613,-3313.6017938597406,1253.8774227622587,0.0002909393197145459
440384.0,1,-16472809.312461864,-2795771.4433529386,20618220.273325756,1793.3485190581323,-3290.500550645992,994.1490652700169,0.00029093396119148903
440984.0,1,-15334983.432982858,-4756758.3920370005,21134838.21126448,1996.9274217708507,-3242.168622852744,726.897596100784,0.0002909286292338088
441584.0,1,-14079568.742812395,-6681272.356213735,21489364.426701758,2185.110301134115,-3168.9977330060315,454.18280178682267,0.00029092332496462954
442184.0,1,-12716237.831480185,-8554578.275306985,21679150.4075329,2356.4654516048063,-3071.57039407081,178.1031835655002,0.0002909180492934453
442784.0,1,-11255482.623629201,-10362346.543564066,21702813.664783373,2509.6930773604554,-2950.654761866497,-99.22043024921061,0.0002909128029094719
443384.0,1,-9708532.739754796,-12090762.001551764,21560246.171219964,2643.6352715823887,-2807.1999037485334,-375.6598609520787,0.0002909081745523392
443984.0,1,-8087266.68225569,-13726630.139734933,21252612.693693995,2757.2828439672367,-2642.3205823117564,-649.1018264062161,0.0002909029877912951
444584.0,1,-6404122.234005862,-15257475.03822318,20782340.223347895,2849.784937179723,-2457.2989944294322,-917.455411699457,0.00029089783103212753
445184.0,1,-4671998.804516161,-16671634.699626828,20153096.790496193,2920.45335063821,-2253.5671726726396,-1178.6737040986986,0.0002908927040521307
445784.0,1,-2904158.733630336,-17958348.25691421,19369761.51474004,2968.7676236309267,-2032.6973533068897,-1430.7678084036254,0.0002908876064012401
446384.0,1,-1114125.7322051544,-19107836.393742308,18438385.447978668,2994.378404290452,-1796.3895597785804,-1671.8217421677457,0.0002908825374058638
446984.0,1,684418.32896805,-20111374.09702912,17366143.68943633,2997.1095109363923,-1546.4583110727094,-1900.0066822098158,0.00029087749617439507
