time,n_sat,x,y,z,dt_u,rms
2026-04-26T06:00:00,11,3512909.9535613293,2069013.4743914749,4888941.210319201,1.948943795651697e-07,30.17073339555356
2026-04-26T06:00:30,11,3512909.1480829865,2069013.6107544797,4888940.338609867,1.9247725358367754e-07,29.623866354872533
2026-04-26T06:01:00,11,3512908.512393951,2069013.9413358197,4888939.91026855,1.9305960882240424e-07,29.5952309750092
2026-04-26T06:01:30,11,3512906.9502825183,2069013.6047013286,4888939.211414882,1.9042586436472492e-07,29.673038675682413
2026-04-26T06:02:00,11,3512906.7837114874,2069014.0020312825,4888940.067786232,1.9307368534905264e-07,29.35362496174585
2026-04-26T06:02:30,11,3512906.2632844574,2069013.9694023551,4888939.60199403,1.9164316694165061e-07,29.22140809477658
2026-04-26T06:03:00,11,3512905.7888033073,2069014.0297736803,4888939.879271098,1.9259376244667935e-07,29.031840137482188
2026-04-26T06:03:30,11,3512904.8908192795,2069014.1804881487,4888939.9182672845,1.9189101877470408e-07,28.708789567752767
2026-04-26T06:04:00,11,3512904.470126446,2069014.0924878872,4888940.643419324,1.9288450634699682e-07,28.505319707422938
2026-04-26T06:04:30,11,3512904.19269324,2069014.6449171589,4888940.372009678,1.9367370726517726e-07,28.493226333143454
2026-04-26T06:05:00,11,3512902.8964490243,2069014.4467828504,4888941.3735468965,1.9437998477335185e-07,28.17088449037456
2026-04-26T06:05:30,11,3512902.049836557,2069014.2866392562,4888942.19921246,1.9549053533896773e-07,28.461068574343066
2026-04-26T06:06:00,11,3512901.219446806,2069014.8637189686,4888942.242241791,1.951368595753824e-07,28.1696016650895
2026-04-26T06:06:30,11,3512900.3278685506,2069014.4297550977,4888942.429281666,1.962309789762367e-07,28.158152985620507
2026-04-26T06:07:00,11,3512899.9580670665,2069014.6627366603,4888943.301096441,1.9736192647435355e-07,28.319090449060898
2026-04-26T06:07:30,11,3512899.1049530567,2069014.7969224767,4888944.403438446,1.9923589149344405e-07,28.294435589485257
2026-04-26T06:08:00,11,3512898.8410324897,2069015.2198780861,4888945.680640131,2.012830163039268e-07,28.33913456906887
2026-04-26T06:08:30,11,3512897.8299405584,2069014.976094648,4888947.441550573,2.051880466174458e-07,28.53644029920644
2026-04-26T06:09:00,11,3512896.8184597483,2069015.1460972733,4888948.361206379,2.0626719034065328e-07,28.704924973606293
2026-04-26T06:09:30,11,3512896.1934562456,2069015.221114785,4888950.346280388,2.1017171179905197e-07,28.797856837712054
2026-04-26T06:10:00,10,3512901.4165610294,2069015.62275378,4888927.367757928,1.7211611402246762e-07,26.754442945737434
2026-04-26T06:10:30,10,3512900.577698795,2069015.719701656,4888926.546066094,1.709555647385771e-07,26.387549540057368
